MQTD,PVIZ,VALOR
6.575,4.98,504000
6.421,9.14,453600
7.185,4.03,728700
6.998,2.94,701400
7.147,5.33,760200
6.43,5.21,602700
6.012,12.43,480900
6.172,19.15,569100
5.631,29.93,346500
6.004,17.1,396900
6.377,20.45,315000
6.009,13.27,396900
5.889,15.71,455700
5.949,8.26,428400
6.096,10.26,382200
5.834,8.47,417900
5.935,6.58,485100
5.99,14.67,367500
5.456,11.69,424200
5.727,11.28,382200
5.57,21.02,285600
5.965,13.83,411600
6.142,18.72,319200
5.813,19.88,304500
5.924,16.3,327600
5.599,16.51,291900
5.813,14.81,348600
6.047,17.28,310800
6.495,12.8,386400
6.674,11.98,441000
5.713,22.6,266700
6.072,13.04,304500
5.95,27.71,277200
5.701,18.35,275100
6.096,20.34,283500
5.933,9.68,396900
5.841,11.41,420000
5.85,8.77,441000
5.966,10.13,518700
6.595,4.32,646800
7.024,1.98,732900
6.77,4.84,558600
6.169,5.81,531300
6.211,7.44,518700
6.069,9.55,445200
5.682,10.21,405300
5.786,14.15,420000
6.03,18.8,348600
5.399,30.81,302400
5.602,16.2,407400
5.963,13.45,413700
6.115,9.43,430500
6.511,5.28,525000
5.998,8.43,491400
5.888,14.8,396900
7.249,4.81,743400
6.383,5.77,518700
6.816,3.95,663600
6.145,6.86,489300
5.927,9.22,411600
5.741,13.15,392700
5.966,14.44,336000
6.456,6.73,466200
6.762,9.5,525000
7.104,8.05,693000
6.29,4.67,493500
5.787,10.24,407400
5.878,8.1,462000
5.594,13.09,365400
5.885,8.79,438900
6.417,6.72,508200
5.961,9.88,455700
6.065,5.52,478800
6.245,7.54,491400
6.273,6.78,506100
6.286,8.94,449400
6.279,11.97,420000
6.14,10.27,436800
6.232,12.34,445200
5.874,9.1,426300
6.727,5.29,588000
6.619,7.22,501900
6.302,6.72,520800
6.167,7.51,480900
6.389,9.62,501900
6.63,6.53,558600
6.015,12.86,472500
6.121,8.44,466200
7.007,5.5,495600
7.079,5.7,602700
6.417,8.81,474600
6.405,8.2,462000
6.442,8.16,480900
6.211,6.21,525000
6.249,10.59,432600
6.625,6.65,596400
6.163,11.34,449400
8.069,4.21,812700
7.82,3.57,919800
7.416,6.19,697200
6.727,9.42,577500
6.781,7.67,556500
6.405,10.63,390600
6.137,13.44,405300
6.167,12.33,422100
5.851,16.47,409500
5.836,18.66,409500
6.127,14.09,428400
6.474,12.27,415800
6.229,15.55,407400
6.195,13,455700
6.715,10.16,478800
5.913,16.21,394800
6.092,17.09,392700
6.254,10.45,388500
5.928,15.76,384300
6.176,12.04,445200
6.021,10.3,403200
5.872,15.37,428400
5.731,13.61,405300
5.87,14.37,462000
6.004,14.27,426300
5.961,17.93,430500
5.856,25.41,363300
5.879,17.58,394800
5.986,14.81,449400
5.613,27.26,329700
5.693,17.19,340200
6.431,15.39,378000
5.637,18.34,300300
6.458,12.6,403200
6.326,12.26,411600
6.372,11.12,483000
5.822,15.03,386400
5.757,17.31,327600
6.335,16.96,380100
5.942,16.9,365400
6.454,14.59,359100
5.857,21.32,279300
6.151,18.46,373800
6.174,24.16,294000
5.019,34.41,302400
5.403,26.82,281400
5.468,26.42,327600
4.903,29.29,247800
6.13,27.8,289800
5.628,16.65,327600
